,Año,Género F/M/Mixto,Grupo/solista,Género musical,Nacionalidad,¿Aparece en top 20 NACIONAL antes del festival?,¿Aparece top 100 NACIONAL antes del festival? TOPCHARTS,¿Cuántas veces aparece?,Posición en el chart,Peak de rating,Gaviotas,Antorchas,¿Aparece top 20 después del festival?,¿Aparece top 100 después del festival?,¿Cuántas veces aparece?,Chart,¿Subió o bajó?,,,,
Luis Fonsi ,2012,Hombre,Solista,Pop latino,Puerto Rico,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,-,,,,
Rosana ,2012,Mujer,Solista,Pop latino / folk pop,España,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,-,,,,
Prince Royce ,2012,Hombre,Solista,Bachata,Estados Unidos,Sí,PENDIENTE,1,18,-,1,2,Si ,PENDIENTE,1,8,Subió,,,,
José Luis Perales ,2012,Hombre,Solista,Balada / jazz,España,no ,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,-,,,,
Juan Luis Guerra,2012,Hombre,Solista,Bachata,República Dominicana,no,PENDIENTE,0,0,-,2,2,no,PENDIENTE,0,0,-,,,,
Roberto Carlos,2011,Hombre,Solista,Balada / rock / bossa nova,Brasil,no ,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Yuri,2011,Mujer,Solista,Pop latino,México,no ,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Américo,2011,Hombre,Solista,Cumbia tropical ,Chile,no ,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Aventura,2011,Hombre,Grupo,Bachata,República Dominicana,Sí,PENDIENTE,1,16,-,2,2,Si ,PENDIENTE,1,12,Subió,,,,
Marco Antonio Solis,2011,Hombre,Solista,Balada Romántica / pop,México,no ,PENDIENTE,0,0,-,1,2,no,PENDIENTE,0,0,-,,,,
Calle 13 ,2011,Mixto,Grupo,Rap fusión latino,Puerto Rico,no,PENDIENTE,0,0,-,0,2,,PENDIENTE,0,0,#¡VALOR!,,,,
Chayanne,2011,Hombre,Solista,Pop latino,Puerto Rico,no,PENDIENTE,0,0,-,2,2,Sí,PENDIENTE,1,9,ingresó,,,,
Carlos Baute,2011,Hombre,Solista,Pop,Venezuela,no,PENDIENTE,0,0,-,0,2,Sí,PENDIENTE,1,15,ingresó,,,,
Pitbull,2011,Hombre,Solista,Hip hop / reggaeton,Estados Unidos,Sí,PENDIENTE,1,11,-,0,2,Sí,PENDIENTE,1,14,bajo ,,,,
