;Año;Género F/M/Mixto;Grupo/solista;Género musical;Nacionalidad;¿Aparece en top 20 NACIONAL antes del festival?;¿Aparece top 100 NACIONAL antes del festival? TOPCHARTS;¿Cuántas veces aparece?;Posición en el chart;Peak de rating;Gaviotas;Antorchas;¿Aparece top 20 después del festival?;¿Aparece top 100 después del festival?;¿Cuántas veces aparece?;Chart;¿Subió o bajó?;;;;;;;;;;;;;;;;;;;;;;;;;;;
Augusto Schuster ;2018;Hombre;Solista;Pop;Chile;no;No;0;0;PENDIENTE;2;No se dan;no;No;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zion & Lennox;2018;Hombre;Duo;Reggeaton;Puerto Rico;no;Sí;1;57;PENDIENTE;2;No se dan;no;No;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Los Fabulosos Cadillacs;2017;Hombre;Grupo;Ska;Argentina;no;No;0;0;PENDIENTE;2;No se dan;no;Sí;4;47,48,69,70;Ingresó;;;;;;;;;;;;;;;;;;;;;;;;;;;
Los Auténticos Decadentes ;2017;Hombre;Grupo;Rock / ska;Argentina;no;No;0;0;PENDIENTE;2;No se dan;no;Sí;2;40, 68;Ingresó;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sin Bandera;2017;Hombre;Duo;Pop / baladas / ranchera ;México;no;No;0;0;PENDIENTE;2;No se dan;no;Sí;4;36,49,50,73;Ingresó;;;;;;;;;;;;;;;;;;;;;;;;;;;
Camila;2017;Hombre;Grupo;Pop rock;México;no;No;0;0;PENDIENTE;2;No se dan;no;Sí;3;65,99,100;Ingresó;;;;;;;;;;;;;;;;;;;;;;;;;;;
Isabel Pantoja ;2017;Mujer;Solista;Copla / flamenco / pop;España;no;No;0;0;PENDIENTE;3;No se dan;no;Sí;1;67;Ingresó;;;;;;;;;;;;;;;;;;;;;;;;;;;
Río Roma;2017;Hombre;Duo;Pop latino;México;no;Sí;1;40;PENDIENTE;2;No se dan;no;No;0;0;Bajó;;;;;;;;;;;;;;;;;;;;;;;;;;;
Olivia Newton-John;2017;Mujer;Solista;Pop;Australia;no;No;0;0;PENDIENTE;2;No se dan;no;No;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peter Cetera;2017;Hombre;Solista;Rock;Estados Unidos ;no;No;0;0;PENDIENTE;2;No se dan;no;No;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maluma;2017;Hombre;Solista;Reggaeton / urbano;Colombia;Sí;Sí;9;3, 4, 6, 13,14,47,48,76;PENDIENTE;2;No se dan;Sí;Sí;13;2,3, 4, 6, 9,10,27,30,32,35,80,90;Subió;;;;;;;;;;;;;;;;;;;;;;;;;;;
Américo;2017;Hombre;Solista;Cumbia tropical ;Chile;no ;Sí;1;81;PENDIENTE;2;No se dan;no;No;0;0;Bajó;;;;;;;;;;;;;;;;;;;;;;;;;;;
J Balvin;2017;Hombre;Solista;Reggaeton;Colombia;Sí;Sí;3;17,28, 49;PENDIENTE;2;No se dan;Si;Sí;6;12, 17,18,57,87,88;Subió;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lali Esposito;2017;Mujer;Solista;Pop;Argentina;no ;No;0;0;PENDIENTE;2;No se dan;no;No;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mon Laferte;2017;Mujer;Solista;Pop / balada / rock alternativo;Chile;Sí;Sí;3;2, 10, 27;PENDIENTE;2;No se dan;Sí;Sí;4;6,19,71,72;Ingresó ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Márama y Rombai;2017;Mixto;Grupo;Cumbia pop;Uruaguay ;no ;No;0;0;PENDIENTE;2;No se dan;no;No;0;0;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marco Antonio Solis ;2016;Hombre;Solista;Balada Romántica / pop;México;no ;PENDIENTE;0;0;PENDIENTE;2;No se dan;no;PENDIENTE;PENDIENTE;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ricardo Montaner;2016;Hombre;Solista;Balada romántica;Venezuela;no ;PENDIENTE;0;0;PENDIENTE;2;No se dan;;PENDIENTE;PENDIENTE;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eros Ramazzotti;2016;Hombre;Solista;Pop rock;Italia;no ;PENDIENTE;0;0;PENDIENTE;2;No se dan;;PENDIENTE;PENDIENTE;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ana Torroja;2016;Mujer;Solista;Pop;España;no ;PENDIENTE;0;0;PENDIENTE;2;No se dan;;PENDIENTE;PENDIENTE;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alejandro Sanz ;2016;Hombre;Solista;Balada romántica;España;Sí;PENDIENTE;1;18;PENDIENTE;2;No se dan;Sí;PENDIENTE;1;1;Subió;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luis Jara;2016;Hombre;Solista;Romántico;Chile;no ;PENDIENTE;0;0;PENDIENTE;2;No se dan;;PENDIENTE;PENDIENTE;;-;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lionel Richie ;2016;Hombre;Solista;Pop / soul / R&B;Estados Unidos;no ;PENDIENTE;0;0;PENDIENTE;2;No se dan;;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rick Astley;2016;Hombre;Solista;Pop;Reino Unido;no ;PENDIENTE;0;0;PENDIENTE;2;No se dan;;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pablo Alborán;2016;Hombre;Solista;Pop;España;no ;PENDIENTE;0;0;PENDIENTE;2;No se dan;;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nicky Jam;2016;Hombre;Solista;Reggaeton;Estados Unidos;Sí;PENDIENTE;1;13;PENDIENTE;2;No se dan;Sí;PENDIENTE;1;10;Subió;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wisin ;2016;Hombre;Solista;Reggaeton;Puerto Rico;Sí;PENDIENTE;2;7, 17;PENDIENTE;2;No se dan;Sí;PENDIENTE;2;4,17;Subió;;;;;;;;;;;;;;;;;;;;;;;;;;;
Don Omar ;2016;Hombre;Solista;Reggaeton;Puerto Rico;Sí;PENDIENTE;1;17;PENDIENTE;2;No se dan;Sí;PENDIENTE;1;17;Mantuvo;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luis Fonsi;2015;Hombre;Solista;Pop latino;Puerto Rico;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yandel;2015;Hombre;Solista;Reggaeton;Puerto Rico;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ricardo Arjona ;2015;Hombre;Solista;Pop latino;Guatemala;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reik ;2015;Hombre;Grupo;Pop latino;México;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alejandro Fernández ;2015;Hombre;Solista;Ranchera / pop latino;México;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nicole;2015;Mujer;Solista;Pop rock;Chile;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emmanuel ;2015;Hombre;Solista;Balada romántica;México;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vicentico;2015;Hombre;Solista;Rock pop;Argentina;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pedro Aznar;2015;Hombre;Solista;Rock / jazz;Argentina;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cultura Profética ;2015;Hombre;Grupo;Reggae / salsa / hip hop / jazz;Puerto Rico;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Romeo Santos ;2015;Hombre;Solista;Bachata;Estados Unidos ;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Noche de Brujas ;2015;Hombre;Grupo;Cumbia ;Chile;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yusuf Cat Stevens ;2015;Hombre;Solista;Folk / rock / pop;Reino Unido;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nano Stern ;2015;Hombre;Solista;Jazz / trova / folk / rock ;Chile;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
Óscar D'León ;2015;Hombre;Solista;Salsa;Venezuela;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;2;No se dan;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;PENDIENTE;;;;;;;;;;;;;;;;;;;;;;;;;;;
