Artista;Año;Género F/M/Mixto;Grupo/solista;Género musical;Nacionalidad
Axé Bahía;2002;Mixto;Grupo;Axé / europop;Brasil
Ricardo Montaner;2002;Hombre;Solista;Balada romántica;Venezuela
Piero;2002;Hombre;Solista;Trova / rock;Argentina / Italia 
DJ Méndez;2002;Hombre;Solista;Rap / urbano / hip hop;Chile 
La Ley;2002;Mixto;Grupo;Rock;Chile 
Javiera y los imposibles;2002;Mixto;Grupo;Pop rock;Chile 
Tito Fernández ;2002;Hombre;Solista;Nueva canción chilena / folclore ;Chile 
Lucho Gatica;2002;Hombre;Solista;Bolero;Chile 
Buddy Richard;2002;Hombre;Solista;Nueva ola / balada / rock;Chile 
Illapu;2002;Hombre;Grupo;Música andina / fusión latinoamericana;Chile 
Natalia oreiro;2002;Mujer;Solista;Pop latino / dance ;Uruguay
German Casas ;2002;Hombre;Solista;Rock and roll / twist;Chile 
Juan Gabriel;2002;Hombre;Solista;Mariachi / bolero / balada;México
Los Auténticos Decadentes ;2002;Hombre;Grupo;Rock / ska;Argentina
Chayanne;2002;Hombre;Solista;Pop latino;Puerto Rico
Soledad Pastorutti;2002;Mujer;Solista;Folclore argentino / pop;Argentina
Patricia Manterola;2002;Mujer;Solista;Latino;México
Los Jaivas;2002;Mixto;Grupo;Rock folclórico;Chile
Cecilia Echenique;2002;Mujer;Solista;Pop latino / balada romántica;Chile
Myriam Hernandez;2002;Mujer;Solista;Balada romántica;Chile
Fito Páez;2002;Hombre;Solista;Rock;Argentina
Raúl;2002;Hombre;Solista;Pop / balda / disco;España
Victor Heredia;2002;Hombre;Solista;Trova / canción protesta;Argentina
Pedro Fernandez;2001;Hombre;Solista;Ranchera;México
Peabo Bryson;2001;Hombre;Solista;Soul / urban / R&B;Estados Unidos
Bond;2001;Mujer;Grupo;Crossover clásico / electrónica ;Inglaterra / Australia
Vengaboys;2001;Mixto;Grupo;Eurodance / pop;Países Bajos
Ricardo Arjona;2001;Hombre;Solista;Pop latino;Guatemala
Lucero;2001;Mujer;Solista;Pop latino / balada / ranchera;México
La Ley;2001;Mixto;Grupo;Rock;Chile
Myriam Hernandez;2001;Mujer;Solista;Balada romántica;Chile
Douglas;2001;Hombre;Solista;Bachata / balada romántica;Chile
Palmenia Pizarro;2001;Mujer;Solista;Bolero / balada / ranchera ;Chile
Tito Fernández ;2001;Hombre;Solista;Nueva canción chilena / folclore ;Chile
Gondwana;2001;Hombre;Grupo;Reggaeton;Chile
Alejandro Fernández ;2001;Hombre;Solista;Ranchera / pop latino;México
Natalia oreiro;2001;Mujer;Solista;Pop latino / eurodance;Uruguay
David Hasselhoff;2001;Hombre;Solista;Rock;Estados Unidos
Antonio Ríos;2001;Hombre;Solista;Cumbia / folclore;Argentina
Ana Torroja;2001;Mujer;Solista;Pop;España
Eva Ayllón;2001;Mujer;Solista;Música criolla / afroperuana;Perú
Lynda;2001;Mujer;Solista;Pop;México
La mosca Tsé-Tsé;2001;Hombre;Grupo;Pop latino y Rock;Argentina
Alejandro Sanz ;2001;Hombre;Solista;Balada romántica;España
Edith Márquez;2001;Mujer;Solista;Pop / ranchera;México
Fernando Ubiergo;2001;Hombre;Solista;Nueva canción chilena / balada;Chile
Ráfaga ;2001;Hombre;Grupo;Cumbia ;Argentina
Juan Luis Guerra;2000;Hombre;Grupo;Bachata;República Domicana 
A*Teens;2000;Mixto;Grupo;Pop ;Suecia
Fulanito;2000;Hombre;Grupo;Merengue ;Estados Unidos
Emmanuel;2000;Hombre;Solista;Balada romántica;México
Joe Vasconcellos;2000;Hombre;Solista;Pop rock;Chile
Elvis Crespo;2000;Hombre;Solista;Merengue;Puerto Rico
Chayanne;2000;Hombre;Solista;Pop latino;Puerto Rico
Juan Carlos Calderón;2000;Hombre;Solista;Pop;España
Luis Jara;2000;Hombre;Solista;Romántico;Chile
Celia Cruz;2000;Mujer;Solista;Salsa ;Cuba
Xuxa;2000;Mujer;Solista;Pop ;Brasil
Douglas;2000;Hombre;Solista;Bachata / balada romántica;Chile
Soledad Pastorutti;2000;Mujer;Solista;Folclore argentino / pop;Argentina
Ráfaga ;2000;Hombre;Grupo;Cumbia;Argentina
Enrique Iglesias;2000;Hombre;Solista;Pop latino;España
Pablo Herrera;2000;Hombre;Solista;Balada romántica;Chile
Lou Bega;2000;Hombre;Solista;Latino / mambo / jazz;Alemania
Cristian Castro;2000;Hombre;Solista;Balada romántica;México
Paulina Rubio;2000;Mujer;Solista;Pop latino;México
Hernaldo Zuñiga;2000;Hombre;Solista;Balada / trova ;Nicaragua 
Carlos Ponce ;2000;Hombre;Solista;Pop latino;Puerto Rico
José Alfredo Fuentes;2000;Hombre;Solista;La nueva ola / balada / pop;Chile
Duran Duran;2000;Hombre;Grupo;Pop rock;Inglaterra 
FIN DEL MILENIO;;;;;
Enrique Iglesias;1999;Hombre;Solista;Pop latino;España
Emma Shapplin;1999;Mujer;Solista;Pop operístico;Francia
El símbolo;1999;Hombre;Grupo;Pop latino ;Argentina
Ricardo Arjona;1999;Hombre;Solista;Pop latino;Guatemala
Ricardo Montaner;1999;Hombre;Solista;Balada romántica;Venezuela
Glup!;1999;Hombre;Grupo;Rock;Chile
Creedence Clearwater Revisited;1999;Hombre;Grupo;Rock;Estados Unidos
Só Para Contrariar;1999;Hombre;Grupo;Reggae / pagode / samba;Brasil
Charlie Zaa;1999;Hombre;Solista;Balada / bolero ;Colombia
Florcita Motuda;1999;Hombre;Solista;Beat / pop / funk;Chile
Chichi Peralta;1999;Hombre;Solista;Tropical;República Domicana 
Rosana;1999;Mujer;Solista;Pop latino / folk pop;España
Alvaro Scaramelli;1999;Hombre;Solista;Rock latino;Chile
Carlos Ponce ;1999;Hombre;Solista;Pop latino;Puerto Rico
Sandy & Papo;1999;Hombre;Duo;Merengue house / hip-hop;República Domicana 
Alberto Plaza;1999;Hombre;Solista;Trova romántica / balada ;Chile
Keko Yunge;1999;Hombre;Solista;Balada romántica;Chile
Ricardo Arjona;1999;Hombre;Solista;Pop latino;Guatemala
Charlie Zaa;1998;Hombre;Solista;Balada / bolero ;Colombia
Jordi;1998;Hombre;Solista;Electrónica / pop;España
